timestamp,speed,count,duration
2015-06-05 18:20:49.495145,25,263,0:27:25.855977
2015-06-05 18:20:51.423098,21,264,0:27:27.783930
2015-06-05 18:20:58.956664,15,265,0:27:35.317496
2015-06-05 18:21:00.556663,14,266,0:27:36.917495
2015-06-05 18:21:00.772494,,267,0:27:37.133326
2015-06-05 18:21:05.058015,15,268,0:27:41.418847
2015-06-05 18:21:05.273845,,269,0:27:41.634677
2015-06-05 18:21:09.001898,15,270,0:27:45.362730
2015-06-05 18:21:09.169905,,271,0:27:45.530737
2015-06-05 18:21:12.065836,13,272,0:27:48.426668
2015-06-05 18:21:12.265860,,273,0:27:48.626692
2015-06-05 18:22:02.544473,15,274,0:28:38.905305
2015-06-05 18:22:05.936342,15,275,0:28:42.297174
2015-06-05 18:22:06.176344,,276,0:28:42.537176
2015-06-05 18:22:08.768095,11,277,0:28:45.128927
2015-06-05 18:22:17.169968,17,278,0:28:53.530800
2015-06-05 18:22:20.857720,11,279,0:28:57.218552
2015-06-05 18:22:30.006994,19,280,0:29:06.367826
2015-06-05 18:22:45.726405,,281,0:29:22.087237
2015-06-05 18:22:54.283891,,282,0:29:30.644723
2015-06-05 18:22:56.836196,15,283,0:29:33.197028
2015-06-05 18:22:59.076144,15,284,0:29:35.436976
2015-06-05 18:23:02.988050,13,285,0:29:39.348882
2015-06-05 18:23:06.915953,16,286,0:29:43.276785
2015-06-05 18:23:07.091922,,287,0:29:43.452754
2015-06-05 18:23:09.475873,15,288,0:29:45.836705
2015-06-05 18:23:10.347799,,289,0:29:46.708631
2015-06-05 18:23:14.307757,12,290,0:29:50.668589
2015-06-05 18:23:16.627828,12,291,0:29:52.988660
2015-06-05 18:23:19.187534,13,292,0:29:55.548366
2015-06-05 18:23:40.218675,,293,0:30:16.579507
2015-06-05 18:23:49.587996,13,294,0:30:25.948828
2015-06-05 18:23:55.835224,18,295,0:30:32.196056
2015-06-05 18:23:57.619191,19,296,0:30:33.980023
2015-06-05 18:23:59.459118,14,297,0:30:35.819950
2015-06-05 18:23:59.627290,,298,0:30:35.988122
2015-06-05 18:24:01.995075,13,299,0:30:38.355907
2015-06-05 18:24:06.480990,11,300,0:30:42.841822
2015-06-05 18:24:09.008843,,301,0:30:45.369675
2015-06-05 18:24:12.780896,12,302,0:30:49.141728
2015-06-05 18:24:15.588502,14,303,0:30:51.949334
2015-06-05 18:24:17.316598,,304,0:30:53.677430
2015-06-05 18:24:21.732693,24,305,0:30:58.093525
2015-06-05 18:24:22.196619,,306,0:30:58.557451
2015-06-05 18:24:57.308746,12,307,0:31:33.669578
2015-06-05 18:24:58.804838,12,308,0:31:35.165670
2015-06-05 18:24:59.156675,,309,0:31:35.517507
2015-06-05 18:25:02.188671,13,310,0:31:38.549503
2015-06-05 18:25:08.107897,13,311,0:31:44.468729
2015-06-05 18:25:10.643774,13,312,0:31:47.004606
2015-06-05 18:25:13.299655,12,313,0:31:49.660487
2015-06-05 18:25:13.515688,,314,0:31:49.876520
2015-06-05 18:25:16.875624,,315,0:31:53.236456
2015-06-05 18:25:25.040673,12,316,0:32:01.401505
2015-06-05 18:25:39.283851,14,317,0:32:15.644683
2015-06-05 18:25:56.264408,15,318,0:32:32.625240
2015-06-05 18:25:56.448348,,319,0:32:32.809180
2015-06-05 18:26:02.568416,23,320,0:32:38.929248
2015-06-05 18:26:02.896269,,321,0:32:39.257101
2015-06-05 18:26:05.088096,22,322,0:32:41.448928
2015-06-05 18:26:06.888144,21,323,0:32:43.248976
2015-06-05 18:26:12.620914,14,324,0:32:48.981746
2015-06-05 18:26:13.932687,18,325,0:32:50.293519
2015-06-05 18:26:14.132840,,326,0:32:50.493672
2015-06-05 18:26:35.460672,,327,0:33:11.821504
2015-06-05 18:26:41.004728,12,328,0:33:17.365560
2015-06-05 18:26:52.079361,25,329,0:33:28.440193
2015-06-05 18:26:56.263239,18,330,0:33:32.624071
2015-06-05 18:26:56.455223,,331,0:33:32.816055
2015-06-05 18:27:00.559166,18,332,0:33:36.919998
2015-06-05 18:27:08.500534,24,333,0:33:44.861366
2015-06-05 18:27:15.866166,11,334,0:33:52.226998
2015-06-05 18:27:16.074130,,335,0:33:52.434962
2015-06-05 18:27:16.459305,,336,0:33:52.820137
2015-06-05 18:27:16.745970,,337,0:33:53.106802
2015-06-05 18:27:16.953951,,338,0:33:53.314783
2015-06-05 18:27:17.601920,,339,0:33:53.962752
2015-06-05 18:27:18.066138,,340,0:33:54.426970
2015-06-05 18:27:18.290086,,341,0:33:54.650918
2015-06-05 18:27:18.706056,,342,0:33:55.066888
2015-06-05 18:27:26.212716,17,343,0:34:02.573548
2015-06-05 18:27:54.804120,18,344,0:34:31.164952
2015-06-05 18:27:54.996114,,345,0:34:31.356946
2015-06-05 18:27:57.828062,13,346,0:34:34.188894
2015-06-05 18:27:58.028107,,347,0:34:34.388939
2015-06-05 18:27:58.460030,,348,0:34:34.820862
2015-06-05 18:27:58.716008,,349,0:34:35.076840
2015-06-05 18:27:58.876046,,350,0:34:35.236878
2015-06-05 18:28:06.655452,11,351,0:34:43.016284
2015-06-05 18:28:10.615461,13,352,0:34:46.976293
2015-06-05 18:28:10.793697,,353,0:34:47.154529
2015-06-05 18:28:13.031698,14,354,0:34:49.392530
2015-06-05 18:28:13.215397,,355,0:34:49.576229
2015-06-05 18:28:14.403765,,356,0:34:50.764597
2015-06-05 18:28:22.421320,,357,0:34:58.782152
2015-06-05 18:28:22.525556,,358,0:34:58.886388
2015-06-05 18:28:32.581468,16,359,0:35:08.942300
2015-06-05 18:28:56.918188,14,360,0:35:33.279020
2015-06-05 18:28:57.094206,,361,0:35:33.455038
2015-06-05 18:29:01.990329,,362,0:35:38.351161
2015-06-05 18:29:02.190105,,363,0:35:38.550937
2015-06-05 18:29:03.965998,15,364,0:35:40.326830
2015-06-05 18:29:06.158116,,365,0:35:42.518948
2015-06-05 18:29:06.541928,,366,0:35:42.902760
2015-06-05 18:29:11.084288,21,367,0:35:47.445120
2015-06-05 18:29:11.476404,,368,0:35:47.837236
2015-06-05 18:29:13.244008,,369,0:35:49.604840
2015-06-05 18:29:16.788337,13,370,0:35:53.149169
2015-06-05 18:29:33.755890,14,371,0:36:10.116722
2015-06-05 18:29:51.572703,23,372,0:36:27.933535
2015-06-05 18:29:53.084704,18,373,0:36:29.445536
2015-06-05 18:29:55.884442,20,374,0:36:32.245274
2015-06-05 18:30:02.852408,16,375,0:36:39.213240
2015-06-05 18:30:03.347979,,376,0:36:39.708811
2015-06-05 18:30:04.779943,18,377,0:36:41.140775
2015-06-05 18:30:05.180342,,378,0:36:41.541174
2015-06-05 18:30:08.220412,14,379,0:36:44.581244
2015-06-05 18:30:11.676208,13,380,0:36:48.037040
2015-06-05 18:30:13.627999,11,381,0:36:49.988831
2015-06-05 18:30:51.502872,,382,0:37:27.863704
2015-06-05 18:30:53.894918,,383,0:37:30.255750
2015-06-05 18:30:57.995952,,384,0:37:34.356784
2015-06-05 18:30:58.740369,,385,0:37:35.101201
2015-06-05 18:31:02.380284,,386,0:37:38.741116
2015-06-05 18:31:06.197502,,387,0:37:42.558334
2015-06-05 18:31:09.221626,,388,0:37:45.582458
2015-06-05 18:31:10.381558,,389,0:37:46.742390
2015-06-05 18:31:39.077911,,390,0:38:15.438743
2015-06-05 18:31:43.622109,,391,0:38:19.982941
2015-06-05 18:31:50.782931,,392,0:38:27.143763
2015-06-05 18:31:55.320402,,393,0:38:31.681234
2015-06-05 18:31:58.672489,,394,0:38:35.033321
2015-06-05 18:31:59.600449,,395,0:38:35.961281
2015-06-05 18:32:02.824396,,396,0:38:39.185228
2015-06-05 18:32:05.424341,,397,0:38:41.785173
2015-06-05 18:32:06.736056,,398,0:38:43.096888
2015-06-05 18:32:08.448234,,399,0:38:44.809066
2015-06-05 18:32:23.472497,,400,0:38:59.833329
